section,quantity,value,se,published,published_se,outcome,k,m,need,holds
table5,first_stage_morekids,0.059544022309788,0.0015574149949618837,0.06,0.0016,,,,,
table5,first_stage_numkids,0.07539825239459397,0.002569687586763444,0.0765,0.0026,,,,,
table5,workedm_diff,-0.007850744443908098,0.0015777384297758735,-0.008,0.0016,,,,,
table5,workedm_wald,-0.13184773448900128,0.026309485253716125,-0.133,0.026,,,,,
table5,workedm_ols_bivariate,-0.12089464179726739,,,,,,,,
table5,weeksm_diff,-0.37867486763044056,0.07093782493410929,-0.3826,0.0709,,,,,
table5,weeksm_wald,-6.359578223659791,1.181076583590694,-6.38,1.17,,,,,
table5,weeksm_ols_bivariate,-5.9850906103825325,,,,,,,,
table5,hoursm_diff,-0.3088641877455025,0.06020963131967982,-0.311,0.0602,,,,,
table5,hoursm_wald,-5.187156926325594,1.005804876511955,-5.18,1.0,,,,,
table5,hoursm_ols_bivariate,-4.127389995441755,,,,,,,,
table5,incomem_diff,-130.30047522645873,34.38806404795297,-132.5,34.4,,,,,
table5,incomem_wald,-2188.3048905992296,573.6077157953314,-2208.8,569.2,,,,,
table5,incomem_ols_bivariate,-2600.1399387734737,,,,,,,,
table5,lfaminc_diff,-0.0015574233761839196,0.0041034093127386775,-0.0018,0.0041,,,,,
table5,lfaminc_wald,-0.026155830858741066,0.0688715608063566,-0.029,0.068,,,,,
table5,lfaminc_ols_bivariate,-0.17519542997166276,,,,,,,,
estimator,Wald / Mean IV,-0.13184773448900158,0.02630941860580218,,,workedm,,,,
estimator,Ratio-of-Medians,-0.13983602402540013,,,,workedm,30.0,13161.0,,
estimator,Median-of-Ratios,-0.11178588598557795,,,,workedm,24.0,16451.0,,
estimator,Catoni ratio,-0.13184805724167017,,,,workedm,,,,
diagnostic,sigma_hat_Ze,0.17322453452566244,,,,workedm,,,,
diagnostic,tau,0.002699139430384296,,,,workedm,,,,
diagnostic,all_same_sign,True,,,,workedm,,,,
diagnostic,n_blocks_pos,24,,,,workedm,,,,
confidence_set,MoM-AR (feasible),"[-0.3074, 0.0725]",,,,workedm,,,,
test,MoM-AR (feasible) @ no effect,False,,,,workedm,,,,
test,MoM-AR (feasible) @ OLS,False,,,,workedm,,,,
confidence_set,SN-AR,"[-0.1703, -0.0513]",,,,workedm,,,,
test,SN-AR @ no effect,True,,,,workedm,,,,
test,SN-AR @ OLS,False,,,,workedm,,,,
confidence_set,AR (standard),"[-0.1835, -0.0802]",,,,workedm,,,,
test,AR (standard) @ no effect,True,,,,workedm,,,,
test,AR (standard) @ OLS,False,,,,workedm,,,,
estimator,Wald / Mean IV,-6.359578223659716,1.1810735914625803,,,weeksm,,,,
estimator,Ratio-of-Medians,-7.700059193203995,,,,weeksm,30.0,13161.0,,
estimator,Median-of-Ratios,-6.253154683562581,,,,weeksm,24.0,16451.0,,
estimator,Catoni ratio,-6.359545459236581,,,,weeksm,,,,
diagnostic,sigma_hat_Ze,10.852807746989756,,,,weeksm,,,,
diagnostic,tau,0.16910561428548992,,,,weeksm,,,,
diagnostic,all_same_sign,True,,,,weeksm,,,,
diagnostic,n_blocks_pos,24,,,,weeksm,,,,
confidence_set,MoM-AR (feasible),"[-18.4603, 5.4799]",,,,weeksm,,,,
test,MoM-AR (feasible) @ no effect,False,,,,weeksm,,,,
test,MoM-AR (feasible) @ OLS,False,,,,weeksm,,,,
confidence_set,SN-AR,"[-10.3211, -2.4699]",,,,weeksm,,,,
test,SN-AR @ no effect,True,,,,weeksm,,,,
test,SN-AR @ OLS,False,,,,weeksm,,,,
confidence_set,AR (standard),"[-8.6785, -4.0427]",,,,weeksm,,,,
test,AR (standard) @ no effect,True,,,,weeksm,,,,
test,AR (standard) @ OLS,False,,,,weeksm,,,,
estimator,Wald / Mean IV,-5.187156926325546,1.0058023284401492,,,hoursm,,,,
estimator,Ratio-of-Medians,-6.612247377759759,,,,hoursm,30.0,13161.0,,
estimator,Median-of-Ratios,-4.85043206292613,,,,hoursm,24.0,16451.0,,
estimator,Catoni ratio,-5.1871146243091335,,,,hoursm,,,,
diagnostic,sigma_hat_Ze,8.679119030189803,,,,hoursm,,,,
diagnostic,tau,0.13523576472311735,,,,hoursm,,,,
