section,quantity,value,se,published,published_se,k,m,beta0,need,holds
table3_panelB,lwklywge_q1,5.891595914522902,,5.8916,,,,,,
table3_panelB,lwklywge_q234,5.902694796761594,,5.9027,,,,,,
table3_panelB,lwklywge_diff,-0.011098882238691488,0.0027445131681338984,-0.0111,0.00274,,,,,
table3_panelB,educ_q1,12.688065531216711,,12.6881,,,,,,
table3_panelB,educ_q234,12.796883448058813,,12.7969,,,,,,
table3_panelB,educ_diff,-0.10881791684210107,0.013315895766240655,-0.1088,0.0132,,,,,
table3_panelB,wald,0.10199498906780569,0.024031636942205236,0.102,0.0239,,,,,
table3_panelB,ols,0.07085103867008888,0.0003386067946505668,0.0709,0.0003,,,,,
table3_panelB,ols_se_robust,0.0003810222289779594,,,,,,,,
estimator,Wald / Mean IV,0.10199498906780423,0.02403151401593215,,,,,,,
estimator,Ratio-of-Medians,0.10231649547284986,,,,30.0,10983.0,,,
estimator,Median-of-Ratios,0.05843705169999522,,,,24.0,13729.0,,,
estimator,Catoni ratio,0.10184993154054166,,,,,,,,
diagnostic,k,24,,,,,,,,
diagnostic,m,13729,,,,,,,,
diagnostic,sigma_hat_Ze,0.34288594461406907,,,,,,,,
diagnostic,tau,0.005848473559099985,,,,,,,,
diagnostic,c_crit,0.9159144137315353,,,,,,,,
diagnostic,all_same_sign,False,,,,,,,,
diagnostic,n_blocks_pos,2,,,,,,,,
confidence_set,MoM-AR (feasible),"[-0.1923, 0.3839]",,,,,,,,
test,MoM-AR (feasible) @ no return,False,,,,,,0.0,,
test,MoM-AR (feasible) @ OLS,False,,,,,,0.07085103867008888,,
confidence_set,SN-AR,"[-0.0097, 0.1744] u [0.1761, 0.1935] u [0.2221, 0.2325]",,,,,,,,
test,SN-AR @ no return,False,,,,,,0.0,,
test,SN-AR @ OLS,False,,,,,,0.07085103867008888,,
confidence_set,AR (standard),"[0.0554, 0.1525]",,,,,,,,
test,AR (standard) @ no return,True,,,,,,0.0,,
test,AR (standard) @ OLS,False,,,,,,0.07085103867008888,,
strength,mu_ZX_hat,-0.02028624258166546,,,,,,,,
strength,sigma2_ZX_hat,2.03108168830777,,,,,,,,
strength,Mean IV (eq:iv_strength): n >= 8 sigma2/(delta mu^2),329509,,,,,,,789667.2820677538,False
strength,RoM (eq:rom_strength): m > 4 sigma2/mu^2 (m=10983),10983,,,,,,,19741.682051693846,False
strength,MoR (eq:mor_strength): m >= 32 sigma2/mu^2 (m=13729),13729,,,,,,,157933.45641355077,False
strength,Single interval (eq:mono_cheby): m >= k sigma2/(delta mu^2) (m=13729),13729,,,,,,,2369001.8462032615,False
