figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
strength,t(2.1),1.0,2.5,Median-of-Ratios,1,505,0.02558513242473542,0.008643259542724435,0.00043214079167430697,0.007716096402500949,0.010427411072607144,0.35382707236400146,0.05
strength,t(2.1),1.0,2.5,Median-of-Ratios,5,101,0.022162572779337822,0.007438994442327429,0.0004055748539000259,0.004111211592296782,0.010417045165111206,0.1347670210802061,0.023727722772277228
strength,t(2.1),1.0,2.5,Median-of-Ratios,25,20,0.020982249088631076,0.007068474639958966,0.00036430240370177724,0.0019003747182738948,0.010409656179092508,0.03225281561987448,0.015575
strength,t(2.1),1.0,2.5,Median-of-Ratios,101,5,0.020775525346397154,0.007025416606006751,0.0003573998727237626,0.0009435068029706015,0.010416782216011111,0.008137190982332981,0.0139
strength,t(2.1),1.0,2.5,Ratio-of-Medians,1,505,0.050377875495351096,0.01676729026193391,-7.184609235605377e-05,0.022689794321369704,0.01166989330243756,0.7908085201601581,0.05
strength,t(2.1),1.0,2.5,Ratio-of-Medians,5,101,0.032701799151160296,0.011057799730555429,-6.864776995496591e-05,0.01195391783214648,0.011624632259462288,0.5139627484266265,0.003113861386138614
strength,t(2.1),1.0,2.5,Ratio-of-Medians,25,20,0.025185056721777493,0.008433355677162135,-0.0001639466587599614,0.005501038641502073,0.01155347620348473,0.18480910478961474,5e-05
strength,t(2.1),1.0,2.5,Ratio-of-Medians,101,5,0.023429139312048885,0.007850220911511274,-0.0003006605728519407,0.0027766399599966356,0.011544885030600263,0.05468122053582866,0.0
strength,t(2.1),0.6,6.944444444444445,Median-of-Ratios,1,505,0.04201921701186959,0.014301331930158478,0.0002093325467851237,0.012952991831083952,0.017050561947644927,0.36593105756065875,0.05
strength,t(2.1),0.6,6.944444444444445,Median-of-Ratios,5,101,0.03601508277071857,0.01229755147817957,0.0003853964786738606,0.006891097113049688,0.017031344972678945,0.14068039225856,0.021896039603960395
strength,t(2.1),0.6,6.944444444444445,Median-of-Ratios,25,20,0.03388633228102518,0.011535847936587573,0.0005283391963156747,0.0031907230496484628,0.017015565238314843,0.03396852847896272,0.014325
strength,t(2.1),0.6,6.944444444444445,Median-of-Ratios,101,5,0.033426206909286674,0.011387457847199745,0.0005279482994016149,0.0016148541448868753,0.0170245214492489,0.008917163594456417,0.0131
strength,t(2.1),0.6,6.944444444444445,Ratio-of-Medians,1,505,0.08020993321840746,0.02676505560098319,-0.0002707997391574457,0.036466944042794464,0.018084143841735775,0.8026185419505935,0.05
strength,t(2.1),0.6,6.944444444444445,Ratio-of-Medians,5,101,0.05149750273736697,0.017518544015835635,-0.00016886166707191785,0.019163088557743034,0.018011381438131815,0.5309514227418622,0.0027425742574257424
strength,t(2.1),0.6,6.944444444444445,Ratio-of-Medians,25,20,0.0389538670092206,0.01348511748570591,4.635756174464767e-05,0.008824091111621449,0.017993470478782806,0.19387164432364928,0.0002
