mu,gamma,test,B,beta0_minus_beta,rejection_rate
1.0,2.5,MoM-AR (oracle),1,-0.6,1.0
1.0,2.5,MoM-AR (oracle),1,-0.5599999999999999,1.0
1.0,2.5,MoM-AR (oracle),1,-0.52,1.0
1.0,2.5,MoM-AR (oracle),1,-0.48,1.0
1.0,2.5,MoM-AR (oracle),1,-0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),1,-0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),1,-0.36,1.0
1.0,2.5,MoM-AR (oracle),1,-0.31999999999999995,1.0
1.0,2.5,MoM-AR (oracle),1,-0.28,0.998
1.0,2.5,MoM-AR (oracle),1,-0.24,0.822
1.0,2.5,MoM-AR (oracle),1,-0.19999999999999996,0.074
1.0,2.5,MoM-AR (oracle),1,-0.15999999999999992,0.0
1.0,2.5,MoM-AR (oracle),1,-0.12,0.0
1.0,2.5,MoM-AR (oracle),1,-0.07999999999999996,0.0
1.0,2.5,MoM-AR (oracle),1,-0.039999999999999925,0.0
1.0,2.5,MoM-AR (oracle),1,0.0,0.0
1.0,2.5,MoM-AR (oracle),1,0.040000000000000036,0.0
1.0,2.5,MoM-AR (oracle),1,0.08000000000000007,0.0
1.0,2.5,MoM-AR (oracle),1,0.1200000000000001,0.0
1.0,2.5,MoM-AR (oracle),1,0.16000000000000014,0.0
1.0,2.5,MoM-AR (oracle),1,0.20000000000000018,0.1275
1.0,2.5,MoM-AR (oracle),1,0.24,0.9215
1.0,2.5,MoM-AR (oracle),1,0.28,0.9995
1.0,2.5,MoM-AR (oracle),1,0.32000000000000006,1.0
1.0,2.5,MoM-AR (oracle),1,0.3599999999999999,1.0
1.0,2.5,MoM-AR (oracle),1,0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),1,0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),1,0.48,1.0
1.0,2.5,MoM-AR (oracle),1,0.52,1.0
1.0,2.5,MoM-AR (oracle),1,0.56,1.0
1.0,2.5,MoM-AR (oracle),1,0.6000000000000001,1.0
1.0,2.5,MoM-AR (oracle),5,-0.6,1.0
1.0,2.5,MoM-AR (oracle),5,-0.5599999999999999,1.0
1.0,2.5,MoM-AR (oracle),5,-0.52,1.0
1.0,2.5,MoM-AR (oracle),5,-0.48,1.0
1.0,2.5,MoM-AR (oracle),5,-0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),5,-0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),5,-0.36,1.0
1.0,2.5,MoM-AR (oracle),5,-0.31999999999999995,1.0
1.0,2.5,MoM-AR (oracle),5,-0.28,0.9995
1.0,2.5,MoM-AR (oracle),5,-0.24,0.8515
1.0,2.5,MoM-AR (oracle),5,-0.19999999999999996,0.0465
1.0,2.5,MoM-AR (oracle),5,-0.15999999999999992,0.0
1.0,2.5,MoM-AR (oracle),5,-0.12,0.0
1.0,2.5,MoM-AR (oracle),5,-0.07999999999999996,0.0
1.0,2.5,MoM-AR (oracle),5,-0.039999999999999925,0.0
1.0,2.5,MoM-AR (oracle),5,0.0,0.0
1.0,2.5,MoM-AR (oracle),5,0.040000000000000036,0.0
1.0,2.5,MoM-AR (oracle),5,0.08000000000000007,0.0
1.0,2.5,MoM-AR (oracle),5,0.1200000000000001,0.0
1.0,2.5,MoM-AR (oracle),5,0.16000000000000014,0.0
1.0,2.5,MoM-AR (oracle),5,0.20000000000000018,0.0865
1.0,2.5,MoM-AR (oracle),5,0.24,0.9445
1.0,2.5,MoM-AR (oracle),5,0.28,1.0
1.0,2.5,MoM-AR (oracle),5,0.32000000000000006,1.0
1.0,2.5,MoM-AR (oracle),5,0.3599999999999999,1.0
1.0,2.5,MoM-AR (oracle),5,0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),5,0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),5,0.48,1.0
1.0,2.5,MoM-AR (oracle),5,0.52,1.0
1.0,2.5,MoM-AR (oracle),5,0.56,1.0
1.0,2.5,MoM-AR (oracle),5,0.6000000000000001,1.0
1.0,2.5,MoM-AR (oracle),25,-0.6,1.0
1.0,2.5,MoM-AR (oracle),25,-0.5599999999999999,1.0
1.0,2.5,MoM-AR (oracle),25,-0.52,1.0
1.0,2.5,MoM-AR (oracle),25,-0.48,1.0
1.0,2.5,MoM-AR (oracle),25,-0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),25,-0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),25,-0.36,1.0
1.0,2.5,MoM-AR (oracle),25,-0.31999999999999995,1.0
1.0,2.5,MoM-AR (oracle),25,-0.28,1.0
1.0,2.5,MoM-AR (oracle),25,-0.24,0.867
1.0,2.5,MoM-AR (oracle),25,-0.19999999999999996,0.0325
1.0,2.5,MoM-AR (oracle),25,-0.15999999999999992,0.0
1.0,2.5,MoM-AR (oracle),25,-0.12,0.0
1.0,2.5,MoM-AR (oracle),25,-0.07999999999999996,0.0
1.0,2.5,MoM-AR (oracle),25,-0.039999999999999925,0.0
1.0,2.5,MoM-AR (oracle),25,0.0,0.0
1.0,2.5,MoM-AR (oracle),25,0.040000000000000036,0.0
1.0,2.5,MoM-AR (oracle),25,0.08000000000000007,0.0
1.0,2.5,MoM-AR (oracle),25,0.1200000000000001,0.0
1.0,2.5,MoM-AR (oracle),25,0.16000000000000014,0.0
1.0,2.5,MoM-AR (oracle),25,0.20000000000000018,0.0705
1.0,2.5,MoM-AR (oracle),25,0.24,0.957
1.0,2.5,MoM-AR (oracle),25,0.28,1.0
1.0,2.5,MoM-AR (oracle),25,0.32000000000000006,1.0
1.0,2.5,MoM-AR (oracle),25,0.3599999999999999,1.0
1.0,2.5,MoM-AR (oracle),25,0.3999999999999999,1.0
1.0,2.5,MoM-AR (oracle),25,0.43999999999999995,1.0
1.0,2.5,MoM-AR (oracle),25,0.48,1.0
1.0,2.5,MoM-AR (oracle),25,0.52,1.0
1.0,2.5,MoM-AR (oracle),25,0.56,1.0
1.0,2.5,MoM-AR (oracle),25,0.6000000000000001,1.0
1.0,2.5,MoM-AR (oracle),101,-0.6,1.0
1.0,2.5,MoM-AR (oracle),101,-0.5599999999999999,1.0
1.0,2.5,MoM-AR (oracle),101,-0.52,1.0
1.0,2.5,MoM-AR (oracle),101,-0.48,1.0
