mu,gamma,test,B,size
1.0,2.5,MoM-AR (oracle),1,0.0
1.0,2.5,MoM-AR (oracle),5,0.0
1.0,2.5,MoM-AR (oracle),25,0.0
1.0,2.5,MoM-AR (oracle),101,0.0
1.0,2.5,MoM-AR (feasible),1,0.0
1.0,2.5,MoM-AR (feasible),5,0.0
1.0,2.5,MoM-AR (feasible),25,0.0
1.0,2.5,MoM-AR (feasible),101,0.0
0.6,6.944444444444445,MoM-AR (oracle),1,0.0
0.6,6.944444444444445,MoM-AR (oracle),5,0.0
0.6,6.944444444444445,MoM-AR (oracle),25,0.0
0.6,6.944444444444445,MoM-AR (oracle),101,0.0
0.6,6.944444444444445,MoM-AR (feasible),1,0.0
0.6,6.944444444444445,MoM-AR (feasible),5,0.0
0.6,6.944444444444445,MoM-AR (feasible),25,0.0
0.6,6.944444444444445,MoM-AR (feasible),101,0.0
0.4,15.624999999999996,MoM-AR (oracle),1,0.0
0.4,15.624999999999996,MoM-AR (oracle),5,0.0
0.4,15.624999999999996,MoM-AR (oracle),25,0.0
0.4,15.624999999999996,MoM-AR (oracle),101,0.0
0.4,15.624999999999996,MoM-AR (feasible),1,0.0
0.4,15.624999999999996,MoM-AR (feasible),5,0.0
0.4,15.624999999999996,MoM-AR (feasible),25,0.0
0.4,15.624999999999996,MoM-AR (feasible),101,0.0
0.3,27.77777777777778,MoM-AR (oracle),1,0.0
0.3,27.77777777777778,MoM-AR (oracle),5,0.0
0.3,27.77777777777778,MoM-AR (oracle),25,0.0
0.3,27.77777777777778,MoM-AR (oracle),101,0.0
0.3,27.77777777777778,MoM-AR (feasible),1,0.0
0.3,27.77777777777778,MoM-AR (feasible),5,0.0
0.3,27.77777777777778,MoM-AR (feasible),25,0.0
0.3,27.77777777777778,MoM-AR (feasible),101,0.0
0.2,62.499999999999986,MoM-AR (oracle),1,0.0
0.2,62.499999999999986,MoM-AR (oracle),5,0.0
0.2,62.499999999999986,MoM-AR (oracle),25,0.0
0.2,62.499999999999986,MoM-AR (oracle),101,0.0
0.2,62.499999999999986,MoM-AR (feasible),1,0.0
0.2,62.499999999999986,MoM-AR (feasible),5,0.0
0.2,62.499999999999986,MoM-AR (feasible),25,0.0
0.2,62.499999999999986,MoM-AR (feasible),101,0.0
0.1,249.99999999999994,MoM-AR (oracle),1,0.0
0.1,249.99999999999994,MoM-AR (oracle),5,0.0
0.1,249.99999999999994,MoM-AR (oracle),25,0.0
0.1,249.99999999999994,MoM-AR (oracle),101,0.0
0.1,249.99999999999994,MoM-AR (feasible),1,0.0
0.1,249.99999999999994,MoM-AR (feasible),5,0.0
0.1,249.99999999999994,MoM-AR (feasible),25,0.0
0.1,249.99999999999994,MoM-AR (feasible),101,0.0
0.05,999.9999999999998,MoM-AR (oracle),1,0.0
0.05,999.9999999999998,MoM-AR (oracle),5,0.0
0.05,999.9999999999998,MoM-AR (oracle),25,0.0
0.05,999.9999999999998,MoM-AR (oracle),101,0.0
0.05,999.9999999999998,MoM-AR (feasible),1,0.0
0.05,999.9999999999998,MoM-AR (feasible),5,0.0
0.05,999.9999999999998,MoM-AR (feasible),25,0.0
0.05,999.9999999999998,MoM-AR (feasible),101,0.0
