dist,estimator,delta,quantile_abs_err
Gaussian,Mean IV,0.002,0.06995095134164367
Gaussian,Mean IV,0.002304175937155263,0.06902988559803463
Gaussian,Mean IV,0.0026546133746826648,0.06797180044570808
Gaussian,Mean IV,0.003058348130197162,0.06691050042446992
Gaussian,Mean IV,0.0035234860845220423,0.06535017444851027
Gaussian,Mean IV,0.004059365925428552,0.0646161837844743
Gaussian,Mean IV,0.004676746642740232,0.06362377408235136
Gaussian,Mean IV,0.005388023539186853,0.06266798780420908
Gaussian,Mean IV,0.006207477093910235,0.0614755076190109
Gaussian,Mean IV,0.007151559675115222,0.06022708005755632
Gaussian,Mean IV,0.008239225858265201,0.059260227716758096
Gaussian,Mean IV,0.009492312981701037,0.058135052284906806
Gaussian,Mean IV,0.010935979580191029,0.05711953230460665
Gaussian,Mean IV,0.012599210498948727,0.05612031318738787
Gaussian,Mean IV,0.014515398829415806,0.05482068681355941
Gaussian,Mean IV,0.016723016350475777,0.05377974920518644
Gaussian,Mean IV,0.019266385935710145,0.052542745740941525
Gaussian,Mean IV,0.022196571434504937,0.05134793465682794
Gaussian,Mean IV,0.025572402893367062,0.0501112277419466
Gaussian,Mean IV,0.029461657701067987,0.048837958152362346
Gaussian,Mean IV,0.033942421371752934,0.047423991970203985
Gaussian,Mean IV,0.03910465528678882,0.046170108355693254
Gaussian,Mean IV,0.045052002871285045,0.04482973096425183
Gaussian,Mean IV,0.05190387046833238,0.04347642963605622
Gaussian,Mean IV,0.059797824689177534,0.04212937370509755
Gaussian,Mean IV,0.06889235437151585,0.04070161413680615
Gaussian,Mean IV,0.07937005259840996,0.03920393892065959
Gaussian,Mean IV,0.09144128266400184,0.03768313409598082
Gaussian,Mean IV,0.10534840158850287,0.036152593172249656
Gaussian,Mean IV,0.12137062597899873,0.03459269561404569
Gaussian,Mean IV,0.13982963792914008,0.032960232518249276
Gaussian,Mean IV,0.1610960435087286,0.03131528984555995
Gaussian,Mean IV,0.1855968135118648,0.029621180103693932
Gaussian,Mean IV,0.2138238558533658,0.02765718933351577
Gaussian,Mean IV,0.24634389172354024,0.025739551850139403
Gaussian,Mean IV,0.2838098337872815,0.023781734234661674
Gaussian,Mean IV,0.326973894870344,0.021744682070175953
Gaussian,Mean IV,0.37670269031909065,0.019627139499826644
Gaussian,Mean IV,0.4339946372474493,0.017396812494097223
Gaussian,Mean IV,0.5,0.014972424402586726
Gaussian,Ratio-of-Medians,0.002,0.12700695996784855
Gaussian,Ratio-of-Medians,0.002304175937155263,0.12456863591243675
Gaussian,Ratio-of-Medians,0.0026546133746826648,0.12251361973551554
Gaussian,Ratio-of-Medians,0.003058348130197162,0.1209029709575957
Gaussian,Ratio-of-Medians,0.0035234860845220423,0.11851851629998937
Gaussian,Ratio-of-Medians,0.004059365925428552,0.11703212047540927
Gaussian,Ratio-of-Medians,0.004676746642740232,0.11515000833222871
Gaussian,Ratio-of-Medians,0.005388023539186853,0.11336546990004269
Gaussian,Ratio-of-Medians,0.006207477093910235,0.11128263569730291
Gaussian,Ratio-of-Medians,0.007151559675115222,0.10918290456299694
Gaussian,Ratio-of-Medians,0.008239225858265201,0.10738693142390467
Gaussian,Ratio-of-Medians,0.009492312981701037,0.10489834800757332
Gaussian,Ratio-of-Medians,0.010935979580191029,0.10257480763563792
Gaussian,Ratio-of-Medians,0.012599210498948727,0.10013080539128522
Gaussian,Ratio-of-Medians,0.014515398829415806,0.09797492049083154
Gaussian,Ratio-of-Medians,0.016723016350475777,0.09560636801238875
Gaussian,Ratio-of-Medians,0.019266385935710145,0.09377976737132221
Gaussian,Ratio-of-Medians,0.022196571434504937,0.09157147734736598
Gaussian,Ratio-of-Medians,0.025572402893367062,0.08943661143981495
Gaussian,Ratio-of-Medians,0.029461657701067987,0.08714785987296245
Gaussian,Ratio-of-Medians,0.033942421371752934,0.08494932683731213
Gaussian,Ratio-of-Medians,0.03910465528678882,0.0826859061894913
Gaussian,Ratio-of-Medians,0.045052002871285045,0.08038926883434315
Gaussian,Ratio-of-Medians,0.05190387046833238,0.07820964192724185
Gaussian,Ratio-of-Medians,0.059797824689177534,0.07556911995836486
Gaussian,Ratio-of-Medians,0.06889235437151585,0.0729196538291662
Gaussian,Ratio-of-Medians,0.07937005259840996,0.07006748787690005
Gaussian,Ratio-of-Medians,0.09144128266400184,0.06744603840168194
Gaussian,Ratio-of-Medians,0.10534840158850287,0.06457288974786073
Gaussian,Ratio-of-Medians,0.12137062597899873,0.06162014471655486
Gaussian,Ratio-of-Medians,0.13982963792914008,0.0586113872424703
Gaussian,Ratio-of-Medians,0.1610960435087286,0.055573327681071275
Gaussian,Ratio-of-Medians,0.1855968135118648,0.052400934348430135
Gaussian,Ratio-of-Medians,0.2138238558533658,0.04920770665473143
Gaussian,Ratio-of-Medians,0.24634389172354024,0.04589158383764866
Gaussian,Ratio-of-Medians,0.2838098337872815,0.04237597893241405
Gaussian,Ratio-of-Medians,0.326973894870344,0.03880608995796425
Gaussian,Ratio-of-Medians,0.37670269031909065,0.03496052079151134
Gaussian,Ratio-of-Medians,0.4339946372474493,0.0309593844992945
Gaussian,Ratio-of-Medians,0.5,0.026633042221599845
Gaussian,Median-of-Ratios,0.002,0.08459765352505462
Gaussian,Median-of-Ratios,0.002304175937155263,0.08408480127644864
Gaussian,Median-of-Ratios,0.0026546133746826648,0.08272178008083268
Gaussian,Median-of-Ratios,0.003058348130197162,0.08117683750605784
Gaussian,Median-of-Ratios,0.0035234860845220423,0.07984892911312691
Gaussian,Median-of-Ratios,0.004059365925428552,0.07848767342166629
Gaussian,Median-of-Ratios,0.004676746642740232,0.07762461391190982
Gaussian,Median-of-Ratios,0.005388023539186853,0.07654977528908338
Gaussian,Median-of-Ratios,0.006207477093910235,0.07527076399449294
Gaussian,Median-of-Ratios,0.007151559675115222,0.07415166865049697
Gaussian,Median-of-Ratios,0.008239225858265201,0.07301321923595254
Gaussian,Median-of-Ratios,0.009492312981701037,0.07188660620493136
Gaussian,Median-of-Ratios,0.010935979580191029,0.07044286876788415
Gaussian,Median-of-Ratios,0.012599210498948727,0.0686218004039965
Gaussian,Median-of-Ratios,0.014515398829415806,0.0673267735791654
Gaussian,Median-of-Ratios,0.016723016350475777,0.0657854791239115
Gaussian,Median-of-Ratios,0.019266385935710145,0.06427134144566221
Gaussian,Median-of-Ratios,0.022196571434504937,0.06272747550759691
Gaussian,Median-of-Ratios,0.025572402893367062,0.06141450688613941
Gaussian,Median-of-Ratios,0.029461657701067987,0.059853674399717186
Gaussian,Median-of-Ratios,0.033942421371752934,0.058317155791528345
Gaussian,Median-of-Ratios,0.03910465528678882,0.056615329691386766
Gaussian,Median-of-Ratios,0.045052002871285045,0.05487019019692464
Gaussian,Median-of-Ratios,0.05190387046833238,0.053173564937325675
Gaussian,Median-of-Ratios,0.059797824689177534,0.05148710172159787
Gaussian,Median-of-Ratios,0.06889235437151585,0.04962570869144902
Gaussian,Median-of-Ratios,0.07937005259840996,0.047868652347202556
Gaussian,Median-of-Ratios,0.09144128266400184,0.046173526145337644
Gaussian,Median-of-Ratios,0.10534840158850287,0.044169378144003194
Gaussian,Median-of-Ratios,0.12137062597899873,0.04227336971380219
Gaussian,Median-of-Ratios,0.13982963792914008,0.04026648165559808
Gaussian,Median-of-Ratios,0.1610960435087286,0.03814638910743797
Gaussian,Median-of-Ratios,0.1855968135118648,0.03608671177072586
Gaussian,Median-of-Ratios,0.2138238558533658,0.033830651932724526
Gaussian,Median-of-Ratios,0.24634389172354024,0.031533801617804655
Gaussian,Median-of-Ratios,0.2838098337872815,0.02902403134867014
Gaussian,Median-of-Ratios,0.326973894870344,0.0265638224751434
Gaussian,Median-of-Ratios,0.37670269031909065,0.023950040383010185
Gaussian,Median-of-Ratios,0.4339946372474493,0.021160700757781065
Gaussian,Median-of-Ratios,0.5,0.01834661741655297
Gaussian,Catoni,0.002,0.07029709051059707
Gaussian,Catoni,0.002304175937155263,0.06922951899328408
Gaussian,Catoni,0.0026546133746826648,0.06808514578783358
Gaussian,Catoni,0.003058348130197162,0.06702258144825969
Gaussian,Catoni,0.0035234860845220423,0.06569519628761436
Gaussian,Catoni,0.004059365925428552,0.06460516785186433
Gaussian,Catoni,0.004676746642740232,0.06379362656051682
Gaussian,Catoni,0.005388023539186853,0.06282736971388195
Gaussian,Catoni,0.006207477093910235,0.06145085797363543
Gaussian,Catoni,0.007151559675115222,0.060284769148897695
Gaussian,Catoni,0.008239225858265201,0.05929339610789301
Gaussian,Catoni,0.009492312981701037,0.058290892969845104
Gaussian,Catoni,0.010935979580191029,0.057281859289627444
Gaussian,Catoni,0.012599210498948727,0.05606779531158726
Gaussian,Catoni,0.014515398829415806,0.054996033964074
Gaussian,Catoni,0.016723016350475777,0.05377684479601676
Gaussian,Catoni,0.019266385935710145,0.052659442616895265
Gaussian,Catoni,0.022196571434504937,0.051354810016627124
Gaussian,Catoni,0.025572402893367062,0.05015490245261799
Gaussian,Catoni,0.029461657701067987,0.048916585894783045
Gaussian,Catoni,0.033942421371752934,0.04742081317816035
Gaussian,Catoni,0.03910465528678882,0.04618296982730075
Gaussian,Catoni,0.045052002871285045,0.044918685363962874
Gaussian,Catoni,0.05190387046833238,0.04344687083376419
Gaussian,Catoni,0.059797824689177534,0.04220756682820812
Gaussian,Catoni,0.06889235437151585,0.04074797748785321
Gaussian,Catoni,0.07937005259840996,0.03923026417944328
Gaussian,Catoni,0.09144128266400184,0.037708427970085626
Gaussian,Catoni,0.10534840158850287,0.03619388702124814
Gaussian,Catoni,0.12137062597899873,0.03459895862970327
Gaussian,Catoni,0.13982963792914008,0.03296369419453259
Gaussian,Catoni,0.1610960435087286,0.03136602485943987
Gaussian,Catoni,0.1855968135118648,0.029657950993979748
Gaussian,Catoni,0.2138238558533658,0.027678489196316394
Gaussian,Catoni,0.24634389172354024,0.025728123609032077
Gaussian,Catoni,0.2838098337872815,0.023780919348518774
Gaussian,Catoni,0.326973894870344,0.02175492999426127
Gaussian,Catoni,0.37670269031909065,0.019615098546203122
Gaussian,Catoni,0.4339946372474493,0.017382166886457162
Gaussian,Catoni,0.5,0.014951347200987508
t(2.1),Mean IV,0.002,0.0886247715174504
t(2.1),Mean IV,0.002304175937155263,0.08343495332436272
t(2.1),Mean IV,0.0026546133746826648,0.07915028545729781
t(2.1),Mean IV,0.003058348130197162,0.07321446151536708
t(2.1),Mean IV,0.0035234860845220423,0.06785538495082273
t(2.1),Mean IV,0.004059365925428552,0.06391716490186822
t(2.1),Mean IV,0.004676746642740232,0.059273593124235115
t(2.1),Mean IV,0.005388023539186853,0.05688784633466445
t(2.1),Mean IV,0.006207477093910235,0.05383516766891743
t(2.1),Mean IV,0.007151559675115222,0.051641296542258255
t(2.1),Mean IV,0.008239225858265201,0.04920386056587208
t(2.1),Mean IV,0.009492312981701037,0.04701679498647447
t(2.1),Mean IV,0.010935979580191029,0.045424510171167956
t(2.1),Mean IV,0.012599210498948727,0.043702240323615076
t(2.1),Mean IV,0.014515398829415806,0.041621132029687986
t(2.1),Mean IV,0.016723016350475777,0.03962270010461355
t(2.1),Mean IV,0.019266385935710145,0.03808991407440793
t(2.1),Mean IV,0.022196571434504937,0.0366027208196734
t(2.1),Mean IV,0.025572402893367062,0.03499960672377364
t(2.1),Mean IV,0.029461657701067987,0.03377713198001726
t(2.1),Mean IV,0.033942421371752934,0.032508520552674156
t(2.1),Mean IV,0.03910465528678882,0.03108784321110148
t(2.1),Mean IV,0.045052002871285045,0.0298636761690281
t(2.1),Mean IV,0.05190387046833238,0.02869711301239784
t(2.1),Mean IV,0.059797824689177534,0.027430433643380332
t(2.1),Mean IV,0.06889235437151585,0.026217947242964553
t(2.1),Mean IV,0.07937005259840996,0.02504745672452309
t(2.1),Mean IV,0.09144128266400184,0.023890351428404063
t(2.1),Mean IV,0.10534840158850287,0.022749616901601672
t(2.1),Mean IV,0.12137062597899873,0.021619683016289873
t(2.1),Mean IV,0.13982963792914008,0.020486909844598705
t(2.1),Mean IV,0.1610960435087286,0.019333690501282155
t(2.1),Mean IV,0.1855968135118648,0.01817871453714326
t(2.1),Mean IV,0.2138238558533658,0.01698872847130587
t(2.1),Mean IV,0.24634389172354024,0.015726973968358714
t(2.1),Mean IV,0.2838098337872815,0.014453449229794491
t(2.1),Mean IV,0.326973894870344,0.013198117248271034
t(2.1),Mean IV,0.37670269031909065,0.011840436446911977
t(2.1),Mean IV,0.4339946372474493,0.010418570616442108
t(2.1),Mean IV,0.5,0.009000328440388228
t(2.1),Ratio-of-Medians,0.002,0.08361742760694671
t(2.1),Ratio-of-Medians,0.002304175937155263,0.0826164036068248
t(2.1),Ratio-of-Medians,0.0026546133746826648,0.08104701102132696
t(2.1),Ratio-of-Medians,0.003058348130197162,0.07925866764593273
t(2.1),Ratio-of-Medians,0.0035234860845220423,0.07756463107461237
t(2.1),Ratio-of-Medians,0.004059365925428552,0.07645948754578019
t(2.1),Ratio-of-Medians,0.004676746642740232,0.07540280334143981
t(2.1),Ratio-of-Medians,0.005388023539186853,0.07394645437430629
t(2.1),Ratio-of-Medians,0.006207477093910235,0.07272172746620657
