dist,estimator,delta,quantile_abs_err
Gaussian,Mean IV,0.002,0.06848500004398034
Gaussian,Mean IV,0.002304175937155263,0.06767027617955773
Gaussian,Mean IV,0.0026546133746826648,0.06639316878775323
Gaussian,Mean IV,0.003058348130197162,0.06543975646426936
Gaussian,Mean IV,0.0035234860845220423,0.06444569755532227
Gaussian,Mean IV,0.004059365925428552,0.06367327373075006
Gaussian,Mean IV,0.004676746642740232,0.06288646443078476
Gaussian,Mean IV,0.005388023539186853,0.06186762161204781
Gaussian,Mean IV,0.006207477093910235,0.06070932906007704
Gaussian,Mean IV,0.007151559675115222,0.05951052972854348
Gaussian,Mean IV,0.008239225858265201,0.058422719804713245
Gaussian,Mean IV,0.009492312981701037,0.057304675953888384
Gaussian,Mean IV,0.010935979580191029,0.056240285486651366
Gaussian,Mean IV,0.012599210498948727,0.0551957301410249
Gaussian,Mean IV,0.014515398829415806,0.05405576883595043
Gaussian,Mean IV,0.016723016350475777,0.052877481717828516
Gaussian,Mean IV,0.019266385935710145,0.051729164216814436
Gaussian,Mean IV,0.022196571434504937,0.050539461383212386
Gaussian,Mean IV,0.025572402893367062,0.0494194285317976
Gaussian,Mean IV,0.029461657701067987,0.048259263287753686
Gaussian,Mean IV,0.033942421371752934,0.047172543604049565
Gaussian,Mean IV,0.03910465528678882,0.045746813693865414
Gaussian,Mean IV,0.045052002871285045,0.044388652694924036
Gaussian,Mean IV,0.05190387046833238,0.043082180938889256
Gaussian,Mean IV,0.059797824689177534,0.041673697500048734
Gaussian,Mean IV,0.06889235437151585,0.04028614033800866
Gaussian,Mean IV,0.07937005259840996,0.038837538709475254
Gaussian,Mean IV,0.09144128266400184,0.03742174720809181
Gaussian,Mean IV,0.10534840158850287,0.035934871968044714
Gaussian,Mean IV,0.12137062597899873,0.03438530707782104
Gaussian,Mean IV,0.13982963792914008,0.032756080392420145
Gaussian,Mean IV,0.1610960435087286,0.031089287792223266
Gaussian,Mean IV,0.1855968135118648,0.029406744248798904
Gaussian,Mean IV,0.2138238558533658,0.027673095611812255
Gaussian,Mean IV,0.24634389172354024,0.025796735159368336
Gaussian,Mean IV,0.2838098337872815,0.023885106424054586
Gaussian,Mean IV,0.326973894870344,0.02180766660663512
Gaussian,Mean IV,0.37670269031909065,0.019697424234094027
Gaussian,Mean IV,0.4339946372474493,0.017405731476189415
Gaussian,Mean IV,0.5,0.015017758189063202
Gaussian,Ratio-of-Medians,0.002,0.12516647892131685
Gaussian,Ratio-of-Medians,0.002304175937155263,0.12339652689740857
Gaussian,Ratio-of-Medians,0.0026546133746826648,0.12112669774793589
Gaussian,Ratio-of-Medians,0.003058348130197162,0.1190085675498769
Gaussian,Ratio-of-Medians,0.0035234860845220423,0.11683066385511696
Gaussian,Ratio-of-Medians,0.004059365925428552,0.11523405782392453
Gaussian,Ratio-of-Medians,0.004676746642740232,0.11315488541777331
Gaussian,Ratio-of-Medians,0.005388023539186853,0.11128162383288359
Gaussian,Ratio-of-Medians,0.006207477093910235,0.10995238418648988
Gaussian,Ratio-of-Medians,0.007151559675115222,0.10812332058375121
Gaussian,Ratio-of-Medians,0.008239225858265201,0.10622174624841031
Gaussian,Ratio-of-Medians,0.009492312981701037,0.10457442369976767
Gaussian,Ratio-of-Medians,0.010935979580191029,0.10214425184426813
Gaussian,Ratio-of-Medians,0.012599210498948727,0.1002192804945112
Gaussian,Ratio-of-Medians,0.014515398829415806,0.09808058156399155
Gaussian,Ratio-of-Medians,0.016723016350475777,0.09577964362765042
Gaussian,Ratio-of-Medians,0.019266385935710145,0.09356481850969482
Gaussian,Ratio-of-Medians,0.022196571434504937,0.0912209024960952
Gaussian,Ratio-of-Medians,0.025572402893367062,0.08904803954514853
Gaussian,Ratio-of-Medians,0.029461657701067987,0.08679290017330704
Gaussian,Ratio-of-Medians,0.033942421371752934,0.0844086006265153
Gaussian,Ratio-of-Medians,0.03910465528678882,0.08206485486636458
Gaussian,Ratio-of-Medians,0.045052002871285045,0.07961341737163667
Gaussian,Ratio-of-Medians,0.05190387046833238,0.07721052764013128
Gaussian,Ratio-of-Medians,0.059797824689177534,0.07483638023499341
Gaussian,Ratio-of-Medians,0.06889235437151585,0.07258772117994047
Gaussian,Ratio-of-Medians,0.07937005259840996,0.06987608798367566
Gaussian,Ratio-of-Medians,0.09144128266400184,0.06719172968822883
Gaussian,Ratio-of-Medians,0.10534840158850287,0.06436655103687851
Gaussian,Ratio-of-Medians,0.12137062597899873,0.06164129525627402
Gaussian,Ratio-of-Medians,0.13982963792914008,0.05861561365414052
Gaussian,Ratio-of-Medians,0.1610960435087286,0.05561427399595267
Gaussian,Ratio-of-Medians,0.1855968135118648,0.05229896540058945
Gaussian,Ratio-of-Medians,0.2138238558533658,0.04914466109896304
Gaussian,Ratio-of-Medians,0.24634389172354024,0.04581408482920874
Gaussian,Ratio-of-Medians,0.2838098337872815,0.04235750019085769
Gaussian,Ratio-of-Medians,0.326973894870344,0.03873547809187473
Gaussian,Ratio-of-Medians,0.37670269031909065,0.03503613563471125
Gaussian,Ratio-of-Medians,0.4339946372474493,0.031097960482042386
Gaussian,Ratio-of-Medians,0.5,0.026722774961655205
Gaussian,Median-of-Ratios,0.002,0.08378125949424621
Gaussian,Median-of-Ratios,0.002304175937155263,0.08235984270950594
Gaussian,Median-of-Ratios,0.0026546133746826648,0.08135040428259334
Gaussian,Median-of-Ratios,0.003058348130197162,0.08036003998425603
Gaussian,Median-of-Ratios,0.0035234860845220423,0.07949702064896573
Gaussian,Median-of-Ratios,0.004059365925428552,0.0781609159328981
Gaussian,Median-of-Ratios,0.004676746642740232,0.0769132102439391
Gaussian,Median-of-Ratios,0.005388023539186853,0.07551090811722297
Gaussian,Median-of-Ratios,0.006207477093910235,0.07418191698922229
Gaussian,Median-of-Ratios,0.007151559675115222,0.07289312554533758
Gaussian,Median-of-Ratios,0.008239225858265201,0.07149755060320526
Gaussian,Median-of-Ratios,0.009492312981701037,0.07039491966616253
Gaussian,Median-of-Ratios,0.010935979580191029,0.06917456513666922
Gaussian,Median-of-Ratios,0.012599210498948727,0.06771966851764673
Gaussian,Median-of-Ratios,0.014515398829415806,0.06627192200164611
Gaussian,Median-of-Ratios,0.016723016350475777,0.06484063533148283
Gaussian,Median-of-Ratios,0.019266385935710145,0.06352492364266309
Gaussian,Median-of-Ratios,0.022196571434504937,0.06226698628134451
Gaussian,Median-of-Ratios,0.025572402893367062,0.06078178300360279
Gaussian,Median-of-Ratios,0.029461657701067987,0.05929530677980825
Gaussian,Median-of-Ratios,0.033942421371752934,0.057830166673690335
Gaussian,Median-of-Ratios,0.03910465528678882,0.056328361756550135
Gaussian,Median-of-Ratios,0.045052002871285045,0.0547222771351983
Gaussian,Median-of-Ratios,0.05190387046833238,0.05293751526140915
Gaussian,Median-of-Ratios,0.059797824689177534,0.051304379933035944
Gaussian,Median-of-Ratios,0.06889235437151585,0.049589959979507096
Gaussian,Median-of-Ratios,0.07937005259840996,0.04782183600065046
Gaussian,Median-of-Ratios,0.09144128266400184,0.046139673962398126
Gaussian,Median-of-Ratios,0.10534840158850287,0.04420799920055246
Gaussian,Median-of-Ratios,0.12137062597899873,0.04222248882839025
Gaussian,Median-of-Ratios,0.13982963792914008,0.04023575074019842
Gaussian,Median-of-Ratios,0.1610960435087286,0.03821787281932407
Gaussian,Median-of-Ratios,0.1855968135118648,0.036163541837386355
Gaussian,Median-of-Ratios,0.2138238558533658,0.03405220872530638
Gaussian,Median-of-Ratios,0.24634389172354024,0.03178428343696087
Gaussian,Median-of-Ratios,0.2838098337872815,0.02936459804383517
Gaussian,Median-of-Ratios,0.326973894870344,0.02686340401447002
Gaussian,Median-of-Ratios,0.37670269031909065,0.024190953754677554
