config,estimator,mean_bias,median_bias,sd,iqr,rmse,mad_err,q99_abs_err
Gaussian,Mean IV,-0.00011621114047808902,-2.215041658371053e-06,0.022207736637371,0.0300565835715092,0.022208040696648623,0.015017758189063202,0.05688630314669858
Gaussian,Ratio-of-Medians,-0.0015025581259153077,-0.001709552025574157,0.03972432945083365,0.05325496045972966,0.03975273614784426,0.026722774961655205,0.10375642827074386
Gaussian,Median-of-Ratios,-0.0001944631992556775,0.00021340247996248785,0.027281981693526802,0.03667597605393769,0.027282674741707355,0.018340189190720446,0.06997536739175376
Gaussian,Catoni,-0.000503229138928186,-0.0004055804494156323,0.022214191754660707,0.030022267007676073,0.022219890973609706,0.015042289911940399,0.05703213783611815
Gaussian,Trimmed Mean,-0.000257057704157154,-2.6291582481019482e-05,0.03094038256899112,0.04173042872312627,0.03094145038906218,0.02086969565989727,0.07987056371062067
"Mix(0.1,3)",Mean IV,-0.00019940887752136933,-1.236662117815035e-05,0.02231903990037784,0.030242814213276237,0.022319930689298578,0.015130685147010214,0.057713106045663376
"Mix(0.1,3)",Ratio-of-Medians,-0.0014666874530772406,-0.001598863521095395,0.03928316922188538,0.0525810324978595,0.03931054001410178,0.02635596394045997,0.1014216379563432
"Mix(0.1,3)",Median-of-Ratios,-0.00018159316691035253,1.5182612663422468e-05,0.02680240354528493,0.03596073450470727,0.02680301870839497,0.017973836706517476,0.06925525051376467
"Mix(0.1,3)",Catoni,-0.0005529517571614,-0.00039579642806197857,0.022210428897230877,0.030088122704660103,0.02221731098591133,0.015047280085330794,0.0574583754941273
"Mix(0.1,3)",Trimmed Mean,0.005144448545790652,0.0054660838931454014,0.029128707030777454,0.03911411151944333,0.02957950175586383,0.019989998985949886,0.07559063213067675
"Mix(0.01,30)",Mean IV,-0.00016411383487266703,-5.681974666549294e-06,0.022426648764744938,0.029313086788693155,0.02242724923319916,0.014672081500240908,0.06007903924794685
"Mix(0.01,30)",Ratio-of-Medians,-0.0004453416714141846,-0.0004814519875174228,0.029285477373997316,0.03738228209969696,0.02928886331401761,0.018674072090714033,0.08145201005387558
"Mix(0.01,30)",Median-of-Ratios,-4.950183539130776e-05,5.279380898337571e-06,0.013425167737666997,0.017650218392382122,0.01342525899996726,0.008824380520731534,0.035708655370259
"Mix(0.01,30)",Catoni,-0.0004674592577095941,-0.00028997970018096453,0.019618784306731665,0.02606485412851034,0.019624352621976583,0.01303089696427212,0.051931195716090374
"Mix(0.01,30)",Trimmed Mean,0.01136436247112835,0.011127611263285986,0.013060350360999513,0.01747063629046064,0.017312466200032003,0.012228733872914455,0.042999349037847155
t(2.01),Mean IV,-5.832364777170941e-05,-4.6319742106892825e-06,0.010654147931794982,0.006310759925853171,0.010654307570201861,0.0031554508277967797,0.018072128716773224
t(2.01),Ratio-of-Medians,-2.6261818687635223e-05,-6.829540222985653e-05,0.012737347524942462,0.016078184934053885,0.012737374598176763,0.008042688801942866,0.036017170287207134
t(2.01),Median-of-Ratios,1.4964996487548914e-05,1.0731578058975622e-05,0.004411498826788367,0.005906575393783919,0.004411524209371973,0.002953789556570441,0.011512868720291319
t(2.01),Catoni,-4.668855384293801e-05,-2.5886176050760046e-05,0.005084170472359793,0.006232792172133017,0.005084384841165659,0.003119198305639337,0.015037565911592889
t(2.01),Trimmed Mean,0.0012720636058247653,0.0012148963294477122,0.005651436167108042,0.007499415711007762,0.005792829754805568,0.003826774725717852,0.015393983783604528
