dist,n,test,size
Gaussian,500,MoM-AR (oracle),0.0
Gaussian,500,MoM-AR (feasible),0.0
Gaussian,500,SN-AR,0.0509
Gaussian,500,AR (standard),0.0516
Gaussian,2000,MoM-AR (oracle),0.0
Gaussian,2000,MoM-AR (feasible),0.0
Gaussian,2000,SN-AR,0.0495
Gaussian,2000,AR (standard),0.0513
Gaussian,8000,MoM-AR (oracle),0.0
Gaussian,8000,MoM-AR (feasible),0.0001
Gaussian,8000,SN-AR,0.046
Gaussian,8000,AR (standard),0.0452
t(2.1),500,MoM-AR (oracle),0.0
t(2.1),500,MoM-AR (feasible),0.0
t(2.1),500,SN-AR,0.0375
t(2.1),500,AR (standard),0.0439
t(2.1),2000,MoM-AR (oracle),0.0
t(2.1),2000,MoM-AR (feasible),0.0
t(2.1),2000,SN-AR,0.0431
t(2.1),2000,AR (standard),0.0469
t(2.1),8000,MoM-AR (oracle),0.0
t(2.1),8000,MoM-AR (feasible),0.0
t(2.1),8000,SN-AR,0.0461
t(2.1),8000,AR (standard),0.0464
Pareto(2.5),500,MoM-AR (oracle),0.0
Pareto(2.5),500,MoM-AR (feasible),0.0
Pareto(2.5),500,SN-AR,0.0384
Pareto(2.5),500,AR (standard),0.0404
Pareto(2.5),2000,MoM-AR (oracle),0.0
Pareto(2.5),2000,MoM-AR (feasible),0.0
Pareto(2.5),2000,SN-AR,0.0404
Pareto(2.5),2000,AR (standard),0.0439
Pareto(2.5),8000,MoM-AR (oracle),0.0
Pareto(2.5),8000,MoM-AR (feasible),0.0001
Pareto(2.5),8000,SN-AR,0.0445
Pareto(2.5),8000,AR (standard),0.0453
