dist,beta0_minus_beta,test,rejection_rate
Gaussian,-0.6,MoM-AR (oracle),1.0
Gaussian,-0.575,MoM-AR (oracle),1.0
Gaussian,-0.5499999999999999,MoM-AR (oracle),1.0
Gaussian,-0.525,MoM-AR (oracle),1.0
Gaussian,-0.5,MoM-AR (oracle),1.0
Gaussian,-0.475,MoM-AR (oracle),1.0
Gaussian,-0.44999999999999996,MoM-AR (oracle),1.0
Gaussian,-0.42500000000000004,MoM-AR (oracle),1.0
Gaussian,-0.4,MoM-AR (oracle),1.0
Gaussian,-0.375,MoM-AR (oracle),1.0
Gaussian,-0.35,MoM-AR (oracle),0.9998
Gaussian,-0.32499999999999996,MoM-AR (oracle),0.9982
Gaussian,-0.30000000000000004,MoM-AR (oracle),0.9822
Gaussian,-0.275,MoM-AR (oracle),0.9176
Gaussian,-0.25,MoM-AR (oracle),0.7438
Gaussian,-0.2250000000000001,MoM-AR (oracle),0.4548
Gaussian,-0.19999999999999996,MoM-AR (oracle),0.1812
Gaussian,-0.17500000000000004,MoM-AR (oracle),0.0476
Gaussian,-0.15000000000000002,MoM-AR (oracle),0.0036
Gaussian,-0.125,MoM-AR (oracle),0.0
Gaussian,-0.10000000000000009,MoM-AR (oracle),0.0
Gaussian,-0.07500000000000007,MoM-AR (oracle),0.0
Gaussian,-0.050000000000000044,MoM-AR (oracle),0.0
Gaussian,-0.025000000000000022,MoM-AR (oracle),0.0
Gaussian,0.0,MoM-AR (oracle),0.0
Gaussian,0.02499999999999991,MoM-AR (oracle),0.0
Gaussian,0.04999999999999982,MoM-AR (oracle),0.0
Gaussian,0.07499999999999996,MoM-AR (oracle),0.0
Gaussian,0.10000000000000009,MoM-AR (oracle),0.0
Gaussian,0.125,MoM-AR (oracle),0.0002
Gaussian,0.1499999999999999,MoM-AR (oracle),0.0084
Gaussian,0.17499999999999982,MoM-AR (oracle),0.076
Gaussian,0.19999999999999996,MoM-AR (oracle),0.2998
Gaussian,0.2250000000000001,MoM-AR (oracle),0.6368
Gaussian,0.25,MoM-AR (oracle),0.8912
Gaussian,0.2749999999999999,MoM-AR (oracle),0.9852
Gaussian,0.2999999999999998,MoM-AR (oracle),0.9992
Gaussian,0.32499999999999996,MoM-AR (oracle),1.0
Gaussian,0.3500000000000001,MoM-AR (oracle),1.0
Gaussian,0.375,MoM-AR (oracle),1.0
Gaussian,0.3999999999999999,MoM-AR (oracle),1.0
Gaussian,0.4249999999999998,MoM-AR (oracle),1.0
Gaussian,0.44999999999999973,MoM-AR (oracle),1.0
Gaussian,0.4750000000000001,MoM-AR (oracle),1.0
Gaussian,0.5,MoM-AR (oracle),1.0
Gaussian,0.5249999999999999,MoM-AR (oracle),1.0
Gaussian,0.5499999999999998,MoM-AR (oracle),1.0
Gaussian,0.5749999999999997,MoM-AR (oracle),1.0
Gaussian,0.6000000000000001,MoM-AR (oracle),1.0
Gaussian,-0.6,MoM-AR (feasible),1.0
Gaussian,-0.575,MoM-AR (feasible),1.0
Gaussian,-0.5499999999999999,MoM-AR (feasible),1.0
Gaussian,-0.525,MoM-AR (feasible),1.0
Gaussian,-0.5,MoM-AR (feasible),1.0
Gaussian,-0.475,MoM-AR (feasible),1.0
Gaussian,-0.44999999999999996,MoM-AR (feasible),0.9998
Gaussian,-0.42500000000000004,MoM-AR (feasible),0.9994
Gaussian,-0.4,MoM-AR (feasible),0.998
Gaussian,-0.375,MoM-AR (feasible),0.994
Gaussian,-0.35,MoM-AR (feasible),0.9854
Gaussian,-0.32499999999999996,MoM-AR (feasible),0.9624
Gaussian,-0.30000000000000004,MoM-AR (feasible),0.9244
Gaussian,-0.275,MoM-AR (feasible),0.8622
Gaussian,-0.25,MoM-AR (feasible),0.7542
Gaussian,-0.2250000000000001,MoM-AR (feasible),0.6184
Gaussian,-0.19999999999999996,MoM-AR (feasible),0.4532
Gaussian,-0.17500000000000004,MoM-AR (feasible),0.2954
Gaussian,-0.15000000000000002,MoM-AR (feasible),0.166
Gaussian,-0.125,MoM-AR (feasible),0.0774
Gaussian,-0.10000000000000009,MoM-AR (feasible),0.027
Gaussian,-0.07500000000000007,MoM-AR (feasible),0.0076
Gaussian,-0.050000000000000044,MoM-AR (feasible),0.002
Gaussian,-0.025000000000000022,MoM-AR (feasible),0.0
Gaussian,0.0,MoM-AR (feasible),0.0
Gaussian,0.02499999999999991,MoM-AR (feasible),0.0
Gaussian,0.04999999999999982,MoM-AR (feasible),0.0038
Gaussian,0.07499999999999996,MoM-AR (feasible),0.01
Gaussian,0.10000000000000009,MoM-AR (feasible),0.0392
Gaussian,0.125,MoM-AR (feasible),0.0994
Gaussian,0.1499999999999999,MoM-AR (feasible),0.2244
