param,n,frac_same_sign,frac_single_interval,violations,panel
0.05,2000,0.0,0.996,0,A: mu sweep (n=2000)
0.1,2000,0.0005,0.9955,0,A: mu sweep (n=2000)
0.15,2000,0.0075,0.997,0,A: mu sweep (n=2000)
0.2,2000,0.048,0.997,0,A: mu sweep (n=2000)
0.3,2000,0.387,0.9965,0,A: mu sweep (n=2000)
0.4,2000,0.8205,0.9985,0,A: mu sweep (n=2000)
0.6,2000,0.9995,1.0,0,A: mu sweep (n=2000)
0.8,2000,1.0,1.0,0,A: mu sweep (n=2000)
250.0,250,0.408,0.999,0,B: n sweep (mu=0.75)
500.0,500,0.9,1.0,0,B: n sweep (mu=0.75)
1000.0,1000,0.9975,1.0,0,B: n sweep (mu=0.75)
2000.0,2000,1.0,1.0,0,B: n sweep (mu=0.75)
8000.0,8000,1.0,1.0,0,B: n sweep (mu=0.75)
51216.0,51216,1.0,1.0,0,B: n sweep (mu=0.75)
